as_of_date,date,scenario_code,scenario_name,scenario_name_ko,lens,related_lenses,source_quality,event_or_seed_dependent,score,raw_state,display_state,confidence,coverage,top_positive_drivers,top_negative_drivers,market_interpretation_ko,engine_version
2026-05-19,2026-05-19,higher_for_longer_long_rate_shock,Higher-for-Longer / Long-Rate Shock,장기금리 부담장,us_global,korea_semiconductor|fx_krw,market,N,78.845293,STRESS,STRESS,84.792857,1.0,"TLT 20d return (+0.3270, z=-1.87) | TLT minus SHY 20d return (+0.1347, z=-1.80) | HYG 20d return (+0.1242, z=-1.66)",,장기금리와 달러 강세 부담이 채권·성장주·신용자산을 압박하는 장세입니다. 고밸류 성장주와 반도체 factor 민감도를 점검합니다.,phase6_final_market_state_v1
2026-05-19,2026-05-19,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,73.685808,ACTIVE,ACTIVE,64.297762,0.869565,"USD/KRW level (+0.2607, z=+1.74) | USD/KRW 20d return (+0.1505, z=+1.20) | FXI 20d return (+0.0576, z=-0.77)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,phase6_final_market_state_v1
2026-05-19,2026-05-19,stagflation_reinflation_energy_shock,Stagflation / Reinflation / Energy Shock,물가·에너지 재상승장,us_global,fx_krw,market,N,64.455958,ACTIVE,ACTIVE,72.569021,1.0,"TLT 20d return (+0.1869, z=-1.87) | USO 20d return (+0.1256, z=+0.84)","TIP 20d return (-0.1024, z=-1.37)",성장 부담이 있는데 유가·원자재·인플레이션 압력이 다시 커지는 장세입니다. 에너지/원자재 수혜와 장기채 부담을 함께 봅니다.,phase6_final_market_state_v1
2026-05-19,2026-05-19,china_trade_fragmentation_shock,China / Trade Fragmentation Shock,중국·무역분절 충격장,china_asia,korea_market|korea_semiconductor|fx_krw,market,N,59.530545,ACTIVE,ACTIVE,55.850268,0.833333,"FXI 20d return (+0.1152, z=-0.77) | USD/KRW 20d return (+0.0903, z=+1.20) | FXI minus SPY 20d return (+0.0810, z=-1.62)",,중국 경기·무역갈등·공급망 충격이 한국/아시아와 반도체 자산에 번지는 장세입니다. 한국 반도체 factor와 원화 약세를 함께 확인합니다.,phase6_final_market_state_v1
2026-05-19,2026-05-19,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,59.361036,WATCH,WATCH,65.324368,0.916667,"HYG 5d return (+0.1392, z=-1.86) | LQD 5d return (+0.1000, z=-2.14)","TLT 5d return (-0.0988, z=-1.98)",변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,phase6_final_market_state_v1
2026-05-19,2026-05-19,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,49.194287,WATCH,WATCH,68.226901,1.0,"USD/KRW 20d return (+0.0602, z=+1.20) | Geopolitical event overlay score (+0.0250, z=+1.00)","PPA minus SPY 20d return (-0.1255, z=-1.67) | GLD 5d return (-0.1132, z=-1.51)","전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.",phase6_final_market_state_v1
2026-05-19,2026-05-19,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,46.268324,WATCH,WATCH,60.252677,0.869565,"QQQ 20d return (+0.1325, z=+1.06)","TLT 20d return (-0.1402, z=-1.87) | USD/KRW 20d return (-0.0903, z=+1.20)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.,phase6_final_market_state_v1
2026-05-19,2026-05-19,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,market,N,38.153696,OFF,OFF,47.886095,0.75,"USD/KRW 20d return (+0.0602, z=+1.20)","SOXX 20d return (-0.0960, z=+0.77) | SOXX minus SPY 20d return (-0.0811, z=+0.81)","AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다.",phase6_final_market_state_v1
2026-05-19,2026-05-19,korea_domestic_financial_stress,Korea Domestic Financial Stress,한국 내수 금융스트레스장,korea_market,fx_krw|credit|real_estate,seed,Y,26.812628,OFF,OFF,44.528086,0.55,"USD/KRW 20d return (+0.0602, z=+1.20)","Korea AA- 3Y credit spread (-0.1579, z=-1.58) | Korea CP-CD 91D spread (-0.0854, z=-1.71)","가계부채, 부동산 PF, 비은행권, 금융주와 건설주 스트레스가 한국 자산 전반으로 번지는 장세입니다. 금융/건설 basket, 신용 spread, 단기자금 spread, 원화 약세를 함께 점검합니다.",phase6_final_market_state_v1
2026-05-19,2026-05-19,slowdown_recession_deflation_risk,Slowdown / Recession / Deflation Risk,경기둔화/침체 우려장,us_global,korea_market,market,N,20.937851,OFF,OFF,68.635031,0.916667,,"TLT 60d return (-0.2500, z=-2.14) | IEF 60d return (-0.1000, z=-3.32) | QQQ 60d return (-0.0890, z=+1.19)",수요 둔화와 침체/디플레이션 압력이 커지는 방어적 장세입니다. 주식 beta와 신용위험을 보수적으로 봅니다.,phase6_final_market_state_v1
