as_of_date,date,scenario_code,scenario_name,scenario_name_ko,lens,related_lenses,source_quality,event_or_seed_dependent,score,raw_state,display_state,confidence,coverage,top_positive_drivers,top_negative_drivers,market_interpretation_ko,engine_version
2026-05-11,2026-05-11,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,72.62223,STRESS,STRONG,71.702621,1.0,"QQQ 20d return (+0.2500, z=+2.50) | SPY 20d return (+0.2254, z=+1.50) | USD/KRW 20d return (+0.0566, z=-0.75)",,성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.,phase4_scenario_vector_v2
2026-05-11,2026-05-11,stagflation_reinflation_energy_shock,Stagflation / Reinflation / Energy Shock,물가·에너지 재상승장,us_global,fx_krw,market,N,51.480108,WATCH,WATCH,57.309753,1.0,"DBC 20d return (+0.0851, z=+0.85) | TLT 20d return (+0.0582, z=-0.58)","SPY 20d return (-0.1127, z=+1.50)",성장 부담이 있는데 유가·원자재·인플레이션 압력이 다시 커지는 장세입니다. 에너지/원자재 수혜와 장기채 부담을 함께 봅니다.,phase4_scenario_vector_v2
2026-05-11,2026-05-11,higher_for_longer_long_rate_shock,Higher-for-Longer / Long-Rate Shock,장기금리 부담장,us_global,korea_semiconductor|fx_krw,market,N,47.529611,WATCH,WATCH,63.635955,1.0,"TLT 20d return (+0.1019, z=-0.58)","QQQ 20d return (-0.2000, z=+2.50) | USD/KRW 20d return (-0.0566, z=-0.75)",장기금리와 달러 강세 부담이 채권·성장주·신용자산을 압박하는 장세입니다. 고밸류 성장주와 반도체 factor 민감도를 점검합니다.,phase4_scenario_vector_v2
2026-05-11,2026-05-11,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,39.121182,OFF,OFF,61.985289,1.0,"GLD 5d return (+0.0571, z=+1.14)","QQQ 5d return (-0.1500, z=+2.31) | SPY 5d return (-0.1449, z=+1.45)",변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,phase4_scenario_vector_v2
2026-05-11,2026-05-11,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,38.416415,OFF,OFF,72.612018,1.0,"GLD 5d return (+0.0857, z=+1.14) | Geopolitical event overlay score (+0.0250, z=+1.00)","PPA minus SPY 20d return (-0.1500, z=-2.58) | USO 5d return (-0.1274, z=-1.27)","전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.",phase4_scenario_vector_v2
2026-05-11,2026-05-11,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,36.706109,OFF,OFF,67.055343,1.0,"USD/KRW level (+0.1064, z=+0.71)","EWY minus SPY 20d return (-0.1500, z=+2.45) | KOSPI 200 20d return (-0.1000, z=+3.29)",달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,phase4_scenario_vector_v2
2026-05-11,2026-05-11,slowdown_recession_deflation_risk,Slowdown / Recession / Deflation Risk,경기둔화/침체 우려장,us_global,korea_market,market,N,30.84288,OFF,OFF,66.857616,1.0,,"TLT 60d return (-0.1413, z=-1.13) | QQQ 60d return (-0.1203, z=+1.60) | IEF 60d return (-0.0951, z=-1.90)",수요 둔화와 침체/디플레이션 압력이 커지는 방어적 장세입니다. 주식 beta와 신용위험을 보수적으로 봅니다.,phase4_scenario_vector_v2
2026-05-11,2026-05-11,china_trade_fragmentation_shock,China / Trade Fragmentation Shock,중국·무역분절 충격장,china_asia,korea_market|korea_semiconductor|fx_krw,market,N,26.974434,OFF,OFF,73.861972,1.0,,"SOXX 20d return (-0.2000, z=+2.77) | EWY 20d return (-0.1500, z=+2.74) | KOSPI 200 20d return (-0.1000, z=+3.29)",중국 경기·무역갈등·공급망 충격이 한국/아시아와 반도체 자산에 번지는 장세입니다. 한국 반도체 factor와 원화 약세를 함께 확인합니다.,phase4_scenario_vector_v2
2026-05-11,2026-05-11,korea_domestic_financial_stress,Korea Domestic Financial Stress,한국 내수 금융스트레스장,korea_market,fx_krw|credit|real_estate,seed,Y,22.471612,OFF,OFF,75.733705,1.0,,"Korea AA- 3Y credit spread (-0.1622, z=-1.62) | EWY minus SPY 20d return (-0.1000, z=+2.45) | KOSPI 200 20d return (-0.1000, z=+3.29)","가계부채, 부동산 PF, 비은행권, 금융주와 건설주 스트레스가 한국 자산 전반으로 번지는 장세입니다. 금융/건설 basket, 신용 spread, 단기자금 spread, 원화 약세를 함께 점검합니다.",phase4_scenario_vector_v2
2026-05-11,2026-05-11,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,market,N,5.657465,OFF,OFF,93.317763,1.0,,"SOXX 20d return (-0.2500, z=+2.77) | SOXX minus SPY 20d return (-0.2000, z=+3.08) | AI leaders basket 20d return (-0.1500, z=+2.17)","AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다.",phase4_scenario_vector_v2
