date,scenario_code,scenario_name,scenario_name_ko,lens,related_lenses,source_quality,event_or_seed_dependent,top_positive_drivers,top_negative_drivers,market_interpretation_ko,structured_score,structured_confidence,structured_coverage,structured_raw_state,structured_display_state,event_overlay_score,event_overlay_confidence,event_count,overlay_applied,final_score,final_confidence,final_state,final_display_state,merge_engine_version
2021-08-01,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.2416, z=+1.61)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,90.262615,23.038732,0.26087,STRESS,PROVISIONAL,,,0,N,90.262615,23.038732,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-02,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.2193, z=+1.46)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,86.552544,21.877318,0.26087,STRESS,PROVISIONAL,,,0,N,86.552544,21.877318,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-03,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.2030, z=+1.35)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,83.835657,21.026814,0.26087,STRESS,PROVISIONAL,,,0,N,83.835657,21.026814,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-04,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.1488, z=+0.99)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,74.807744,18.200685,0.26087,STRESS,PROVISIONAL,,,0,N,74.807744,18.200685,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-04,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,,"VIX level (-0.0058, z=-0.04)",변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,49.036751,10.288975,0.25,WATCH,PROVISIONAL,,,0,N,49.036751,10.288975,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-04,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,,"VIX level (-0.0029, z=-0.04)","전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.",49.036751,6.173385,0.15,WATCH,PROVISIONAL,,,0,N,49.036751,6.173385,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-04,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,market,N,,"VIX level (-0.0010, z=-0.04)","AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다.",49.036751,2.057795,0.05,WATCH,PROVISIONAL,,,0,N,49.036751,2.057795,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-05,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,"USD/KRW level (+0.1362, z=+0.91)",,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,72.704104,17.542154,0.26087,STRESS,PROVISIONAL,,,0,N,72.704104,17.542154,STRESS,PROVISIONAL,phase6_final_market_state_v1
2021-08-05,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,,"VIX level (-0.0520, z=-0.35)",변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,41.325955,12.602213,0.25,WATCH,PROVISIONAL,,,0,N,41.325955,12.602213,WATCH,PROVISIONAL,phase6_final_market_state_v1
2021-08-05,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,,"VIX level (-0.0260, z=-0.35)","전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.",41.325955,7.561328,0.15,WATCH,PROVISIONAL,,,0,N,41.325955,7.561328,WATCH,PROVISIONAL,phase6_final_market_state_v1
