ticker,asset_name,asset_class,scenario_code,scenario_name,scenario_name_ko,lens,scenario_beta,conditional_return_hit,downside_capture,direction,magnitude,sensitivity_level,confidence,method,sensitivity_version,method_priority,sample_count,sample_count_actual,direct_metric_count,source_quality,beta_stability,event_or_seed_dependent,window_start,window_end,active_hit_count,scenario_context_weight,scenario_trade_gate_weight,evidence_quality,gate_eligible,gate_reason,context_reason,scenario_return_beta,scenario_downside_beta,scenario_conditional_return,recommended_role,notes
000270.KS,000270.KS,kr_stock,higher_for_longer_long_rate_shock,Higher-for-Longer / Long-Rate Shock,장기금리 부담장,us_global,0.031916,-0.004996,0.107497,neutral,0.031916,low,84.792857,rolling_beta,v3,1,4621,4621,3,market,pass,N,,2026-05-19,1,0.957691,0.957691,high,Y,trade-gated adverse scenario with medium/high evidence,active market context,0.058029,0.107497,-0.004996,rate_sensitive,장기금리와 달러 강세 부담이 채권·성장주·신용자산을 압박하는 장세입니다. 고밸류 성장주와 반도체 factor 민감도를 점검합니다.
000270.KS,000270.KS,kr_stock,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,0.666702,-0.004996,1.106029,positive,0.666702,medium,55.911083,rolling_beta,v3,1,4195,4195,4,market,pass,N,,2026-05-19,1,0.741605,0.0,high,N,below ACTIVE confidence/coverage trade-gate threshold,active market context,-0.318803,1.106029,-0.004996,krw_weakness_vulnerable,달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.
000270.KS,000270.KS,kr_stock,stagflation_reinflation_energy_shock,Stagflation / Reinflation / Energy Shock,물가·에너지 재상승장,us_global,0.145219,-0.004996,0.058029,positive,0.145219,low,72.569021,rolling_beta,v3,1,4621,4621,2,market,pass,N,,2026-05-19,1,0.74313,0.74313,high,Y,trade-gated adverse scenario with medium/high evidence,active market context,0.019123,,-0.004996,stagflation_vulnerable,성장 부담이 있는데 유가·원자재·인플레이션 압력이 다시 커지는 장세입니다. 에너지/원자재 수혜와 장기채 부담을 함께 봅니다.
000270.KS,000270.KS,kr_stock,china_trade_fragmentation_shock,China / Trade Fragmentation Shock,중국·무역분절 충격장,china_asia,0.598271,-0.004996,1.106029,positive,0.598271,medium,46.541871,rolling_beta,v3,1,1185,1185,5,market,pass,N,,2026-05-19,1,0.691684,0.0,medium,N,below ACTIVE confidence/coverage trade-gate threshold,active market context,0.969393,1.106029,-0.004996,china_asia_shock_vulnerable,중국 경기·무역갈등·공급망 충격이 한국/아시아와 반도체 자산에 번지는 장세입니다. 한국 반도체 factor와 원화 약세를 함께 확인합니다.
000270.KS,000270.KS,kr_stock,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,0.256753,-0.004996,0.107497,positive,0.256753,low,59.880692,rolling_beta,v3,1,4621,4621,3,market,pass,N,,2026-05-19,1,0.405911,0.0,high,N,context only: WATCH state,context only: WATCH state,0.058029,0.107497,-0.004996,liquidity_stress_vulnerable,변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.
000270.KS,000270.KS,kr_stock,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,0.343307,-0.004996,0.058029,positive,0.343307,medium,68.226901,rolling_beta,v3,1,4195,4195,3,manual,pass,Y,,2026-05-19,1,0.401425,0.0,medium,N,context only: source_quality=manual,context only: source_quality=manual,0.019123,,-0.004996,geopolitical_supply_shock_vulnerable,"전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다."
000270.KS,000270.KS,kr_stock,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,0.058029,-0.004996,0.107497,positive,0.058029,low,52.393619,rolling_beta,v3,1,4621,4621,3,market,pass,N,,2026-05-19,1,0.385976,0.0,high,N,non-adverse scenario,context only: WATCH state,0.058029,0.107497,-0.004996,neutral_or_defensive,우호적 위험선호장 참여 민감도
000270.KS,000270.KS,kr_stock,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,0.348592,-0.004996,0.130221,positive,0.348592,medium,35.914571,rolling_beta,v3,1,1185,1185,6,market,pass,N,,2026-05-19,0,0.0,0.0,medium,N,scenario inactive,inactive scenario,0.037153,0.130221,-0.004996,semiconductor_ai_shock_vulnerable,"AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다."
000270.KS,000270.KS,kr_stock,korea_domestic_financial_stress,Korea Domestic Financial Stress,한국 내수 금융스트레스장,korea_market,0.743423,-0.004996,1.106029,positive,0.743423,medium,24.490447,rolling_beta,v3,1,4195,4195,5,seed,pass,Y,,2026-05-19,0,0.0,0.0,low,N,scenario inactive,inactive scenario,0.969393,1.106029,-0.004996,korea_financial_stress_vulnerable,"가계부채, 부동산 PF, 비은행권, 금융주와 건설주 스트레스가 한국 자산 전반으로 번지는 장세입니다. 금융/건설 basket, 신용 spread, 단기자금 spread, 원화 약세를 함께 점검합니다."
000270.KS,000270.KS,kr_stock,slowdown_recession_deflation_risk,Slowdown / Recession / Deflation Risk,경기둔화/침체 우려장,us_global,0.212592,-0.004996,0.107497,positive,0.212592,low,62.915468,rolling_beta,v3,1,4621,4621,3,market,pass,N,,2026-05-19,0,0.0,0.0,high,N,scenario inactive,inactive scenario,0.058029,0.107497,-0.004996,slowdown_vulnerable,수요 둔화와 침체/디플레이션 압력이 커지는 방어적 장세입니다. 주식 beta와 신용위험을 보수적으로 봅니다.
