as_of_date,date,scenario_code,scenario_name,scenario_name_ko,lens,related_lenses,source_quality,event_or_seed_dependent,score,raw_state,display_state,confidence,coverage,top_positive_drivers,top_negative_drivers,market_interpretation_ko,engine_version
2026-05-15,2026-05-15,higher_for_longer_long_rate_shock,Higher-for-Longer / Long-Rate Shock,장기금리 부담장,us_global,korea_semiconductor|fx_krw,market,N,77.142012,STRESS,STRESS,75.548823,0.88,"TLT 20d return (+0.3107, z=-1.78) | HYG 20d return (+0.1381, z=-1.84)","QQQ 20d return (-0.1217, z=+1.22)",장기금리와 달러 강세 부담이 채권·성장주·신용자산을 압박하는 장세입니다. 고밸류 성장주와 반도체 factor 민감도를 점검합니다.,phase4_scenario_vector_v2
2026-05-15,2026-05-15,stagflation_reinflation_energy_shock,Stagflation / Reinflation / Energy Shock,물가·에너지 재상승장,us_global,fx_krw,market,N,72.756862,ACTIVE,ACTIVE,78.772892,1.0,"USO 20d return (+0.2351, z=+1.57) | TLT 20d return (+0.1775, z=-1.78) | DBC 20d return (+0.1452, z=+1.45)",,성장 부담이 있는데 유가·원자재·인플레이션 압력이 다시 커지는 장세입니다. 에너지/원자재 수혜와 장기채 부담을 함께 봅니다.,phase4_scenario_vector_v2
2026-05-15,2026-05-15,usd_strength_krw_weakness,USD Strength / KRW Weakness,달러강세/원화약세장,fx_krw,korea_market,market,N,60.402968,ACTIVE,PROVISIONAL,52.849552,0.73913,"USD/KRW level (+0.2112, z=+1.41) | USD/KRW 20d return (+0.1003, z=+0.80)","KOSPI 200 20d return (-0.0851, z=+1.70)",달러가 강하고 원화가 약해져 KRW 기준 투자자의 환율 리스크가 커지는 장세입니다. 한국 자산과 USD 노출의 역할을 분리해 봅니다.,phase4_scenario_vector_v2
2026-05-15,2026-05-15,acute_global_stress_liquidity_crunch,Acute Global Stress / Liquidity Crunch,급성 리스크오프/유동성 경색장,us_global,korea_market|fx_krw,market,N,59.067638,WATCH,WATCH,54.57023,0.75,"HYG 5d return (+0.1500, z=-2.22) | LQD 5d return (+0.0976, z=-1.95)","TLT 5d return (-0.1000, z=-2.35)",변동성이 튀고 위험자산이 동반 약세를 보이는 단기 스트레스 장세입니다. 상관관계 상승과 유동성 악화를 우선 점검합니다.,phase4_scenario_vector_v2
2026-05-15,2026-05-15,geopolitical_escalation_supply_shock,Geopolitical Escalation / Supply Shock,지정학 확전·공급충격장,geopolitical,us_global|korea_market|fx_krw|inflation,manual,Y,53.165632,WATCH,WATCH,66.765786,0.85,"USO 5d return (+0.1518, z=+1.52) | Geopolitical event overlay score (+0.0250, z=+1.00)","PPA minus SPY 20d return (-0.1500, z=-2.23) | GLD 5d return (-0.0961, z=-1.28)","전쟁, 제재, 해상로 차질, 대만·중동·한반도 긴장처럼 유가·금·방산·변동성이 동시에 움직이는 이벤트성 충격 장세입니다. 뉴스 overlay는 가격 신호를 보강하는 용도로만 해석합니다.",phase4_scenario_vector_v2
2026-05-15,2026-05-15,soft_landing_goldilocks,Soft Landing / Goldilocks,우호적 위험선호장,us_global,korea_market,market,N,50.681941,ACTIVE,ACTIVE,58.091775,0.869565,"QQQ 20d return (+0.1522, z=+1.22) | SPY 20d return (+0.0738, z=+0.49)","TLT 20d return (-0.1331, z=-1.78)",성장은 버티고 물가 부담은 완화되어 미국/글로벌 위험자산과 성장자산에 우호적인 장세입니다. 한국장은 글로벌 위험선호의 수혜 여부를 별도 확인합니다.,phase4_scenario_vector_v2
2026-05-15,2026-05-15,china_trade_fragmentation_shock,China / Trade Fragmentation Shock,중국·무역분절 충격장,china_asia,korea_market|korea_semiconductor|fx_krw,market,N,41.841065,OFF,OFF,26.768376,0.416667,"USD/KRW 20d return (+0.0602, z=+0.80)","KOSPI 200 20d return (-0.0851, z=+1.70) | EWY 20d return (-0.0567, z=+0.76)",중국 경기·무역갈등·공급망 충격이 한국/아시아와 반도체 자산에 번지는 장세입니다. 한국 반도체 factor와 원화 약세를 함께 확인합니다.,phase4_scenario_vector_v2
2026-05-15,2026-05-15,korea_domestic_financial_stress,Korea Domestic Financial Stress,한국 내수 금융스트레스장,korea_market,fx_krw|credit|real_estate,seed,Y,30.641734,OFF,OFF,63.106143,0.85,,"Korea AA- 3Y credit spread (-0.1601, z=-1.60) | Korea CP-CD 91D spread (-0.0868, z=-1.74) | KOSPI 200 20d return (-0.0851, z=+1.70)","가계부채, 부동산 PF, 비은행권, 금융주와 건설주 스트레스가 한국 자산 전반으로 번지는 장세입니다. 금융/건설 basket, 신용 spread, 단기자금 spread, 원화 약세를 함께 점검합니다.",phase4_scenario_vector_v2
2026-05-15,2026-05-15,semiconductor_ai_cycle_shock,Semiconductor / AI Cycle Shock,AI·반도체 사이클 충격장,korea_semiconductor,us_global|korea_market|fx_krw,market,N,24.900363,OFF,OFF,39.87401,0.5,,"Korea semis basket 20d return (-0.1287, z=+1.72) | AI leaders basket 20d return (-0.0945, z=+1.26) | Korea semis basket minus KOSPI 200 20d return (-0.0679, z=+1.36)","AI capex 기대와 반도체 모멘텀이 꺾이면서 미국 성장주와 한국 반도체 대형주가 동시에 압박받는 장세입니다. SOXX, AI leader basket, 한국 반도체 basket의 동반 약세와 원화 압력을 함께 봅니다.",phase4_scenario_vector_v2
2026-05-15,2026-05-15,slowdown_recession_deflation_risk,Slowdown / Recession / Deflation Risk,경기둔화/침체 우려장,us_global,korea_market,market,N,22.615331,OFF,OFF,82.020919,1.0,,"TLT 60d return (-0.2373, z=-1.90) | USO 20d return (-0.1175, z=+1.57) | GLD 20d return (-0.1126, z=-1.50)",수요 둔화와 침체/디플레이션 압력이 커지는 방어적 장세입니다. 주식 beta와 신용위험을 보수적으로 봅니다.,phase4_scenario_vector_v2
